ITE,PR,CATEGORY,ITEM,ITEM,QUANTITY,RPRT,AVERAGE,RECENT,ADJUSTMENTS,
LOC,CA,DESCRIPTION,NUMBER,DESCRIPTION,ON HAND,UOM,COST,COST,QUANTITY,COST/TON
550 ,1C,MANUFACTURED MINERAL,95150090 ,CJK DRY COW AK MIN (50#),900,LB,0.554,0.554,0,1108
550 ,1M,MILK REPLACER,B21205,MF1 NT 1600/1600 W/MOS,10350,LB,1.25245,1.25298,0,2504.9
550 ,1M,MILK REPLACER,B21255,VELOCITY 24-17 NON-MED,7700,LB,1.4283,1.43198,0,2856.6
550 ,1M,MILK REPLACER,B21305,COMMERCIAL CALF NON-MED,5550,LB,1.14216,1.11383,0,2284.32
550 ,1M,MILK REPLACER,B21405,MILKY WAY GROWTH W/MOS,4150,LB,1.01914,1.01598,0,2038.28
550 ,1M,MILK REPLACER,B21455,ADV EXCELERATE NON-MED,6000,LB,1.54378,1.54398,0,3087.56
550 ,1M,MILK REPLACER,B22515,24/17 ACIDIFIED CALF MR,750,LB,1.57355,1.6015,0,3147.1
550 ,1M,MILK REPLACER,B22815,24/24 ACIDIFIED CALF MR,1600,LB,1.70729,1.7073,0,3414.58
550 ,1M,MILK REPLACER,B5025,"MILK FORMULA 1, NON-MED  ",28650,LB,1.16151,1.16198,0,2323.02
550 ,1M,MILK REPLACER,B5026,MILK FORMULA 1 WITH BOVAT,3900,LB,1.17048,1.17048,0,2340.96
550 ,1M,MILK REPLACER,B5065,MILK FORMULA 1 DQ,9600,LB,1.21923,1.19798,0,2438.46
550 ,CH,CALF & HEIFER,95150011 ,EVES G 31% DRY COW ML (50,1300,LB,0.24846,0.25,0,496.92
550 ,CH,CALF & HEIFER,95150013 ,CLINTSMAN R. DRY COW R ML,1200,LB,0.31,0.31,0,620
550 ,CH,CALF & HEIFER,B10530,Crystalyx Dry Cow Bio Blo,1800,LB,0.58575,0.58575,0,1171.5
550 ,CH,CALF & HEIFER,B10540,Crystalyx IGR Pro Bio Blo,400,LB,0.53615,0.53615,0,1072.3
550 ,CH,CALF & HEIFER,B10560,Crystalyx 30% Heifer Bio,600,LB,0.4797,0.46965,0,959.4
550 ,CH,CALF & HEIFER,B3800,ENERGILASS 12  250#,2250,LB,0.4096,0.4096,0,819.2
550 ,CH,CALF & HEIFER,B3840,ENERGILASS 16 DAIRY 250#,5000,LB,0.445,0.445,0,890
550 ,CH,CALF & HEIFER,B44615,ELITE CALF FLAKES 50#,12900,LB,0.21446,0.214,0,428.92
550 ,CH,CALF & HEIFER,B44625,ULTIMATE CALF PELLET,7100,LB,0.19874,0.198,0,397.48
550 ,CH,CALF & HEIFER,B44635,ELITE HEIFER 18% PELLET,7850,LB,0.14621,0.14,0,292.42
550 ,PF,PET FOOD,B11372,SONG MAKER,200,LB,0.4038,0.42425,0,807.6
550 ,PF,PET FOOD,B11375,SONG MAKER,400,LB,0.41665,0.4202,0,833.3
550 ,PF,PET FOOD,B11425,ULTRA CLEAN BLK SUNFLR,280,LB,0.44039,0.4247,0,880.78
550 ,PF,PET FOOD,B1415,KRUNCHIES,550,LB,0.40371,0.40423,0,807.42
550 ,PF,PET FOOD,B1425,NATURAL 26,400,LB,0.4045,0.40526,0,809
550 ,PF,PET FOOD,B17540,BARN CAT FOOD,1600,LB,0.4444,0.44504,0,888.8
550 ,PF,PET FOOD,B18375,FARM DOG 21,360,LB,0.31494,0.31153,0,629.88
550 ,SC,SEED CORN,BR23,SCHLESSMAN 946 L,50,LB,2.05,2.05,0,4100
550 ,SC,SEED CORN,BS309,SCHLESSMAN 868 DP,50,LB,2.38,2.38,0,4760
550 ,SC,SEED CORN,BS318,SCHLESSMAN SX516,50,LB,0,0,0,0
550 ,WI,WAREHOUSE ITEMS (BAG,B0R61,SS3X Dry Prop,500,LB,0.7166,0.7166,0,1433.2
550 ,WI,WAREHOUSE ITEMS (BAG,B0R93,SS3X Dry,450,LB,0.616,0.616,0,1232
550 ,WI,WAREHOUSE ITEMS (BAG,B10465,HI-TEST PLUS 20 -PEL 50#,2400,LB,0.2024,0.19627,0,404.8
550 ,WI,WAREHOUSE ITEMS (BAG,B11422,ULTRA CLEAN BLK SUNFLR,40,LB,0.3165,0.3165,0,633
550 ,WI,WAREHOUSE ITEMS (BAG,B11735,CARB-GUARD,150,LB,0.224,0.22432,0,448
550 ,WI,WAREHOUSE ITEMS (BAG,B15455,AB 20,1700,LB,0.35575,0.35576,0,711.5
550 ,WI,WAREHOUSE ITEMS (BAG,B18805,SHRED BEET PULP W/MOL,400,LB,0.3697,0.36971,0,739.4
550 ,WI,WAREHOUSE ITEMS (BAG,B19605,SENTINEL SENIOR,550,LB,0.30089,0.2996,0,601.78
550 ,WI,WAREHOUSE ITEMS (BAG,B19655,SENTINEL PERFORMANCE LS,2250,LB,0.32213,0.31623,0,644.26
550 ,WI,WAREHOUSE ITEMS (BAG,B19705,SENTINEL SAFE START,1400,LB,0.30181,0.30524,0,603.62
550 ,WI,WAREHOUSE ITEMS (BAG,B19755,SENTINEL GROW & EXCEL,5,50 ,15.512,15.512,0,31024
550 ,WI,WAREHOUSE ITEMS (BAG,B2055,SCRATCH FEED,50,LB,0.2246,0.23908,0,449.2
550 ,WI,WAREHOUSE ITEMS (BAG,B2125,COARSE CRACKED CORN,350,LB,0.21826,0.21686,0,436.52
